Time,Y,Yd,Ydd
0,7310.54,3319.07,-3711.41
0.00585123,7329.9,3297.35,-3711.41
0.0117025,7349.13,3275.64,-3711.41
0.0175537,7368.23,3253.92,-3711.41
0.0234049,7387.21,3232.2,-3711.41
0.0292561,7406.05,3210.49,-3711.41
0.0351074,7424.78,3188.77,-3711.41
0.0409586,7443.37,3167.06,-3711.41
0.0468098,7461.84,3145.34,-3711.41
0.0526611,7480.18,3123.62,-3711.41
0.0585123,7498.39,3101.91,-3711.41
0.0643635,7516.48,3080.19,-3711.41
0.0702148,7534.44,3058.47,-3711.41
0.076066,7552.27,3036.76,-3711.41
0.0819172,7569.98,3015.04,-3711.41
0.0877685,7587.55,2993.33,-3711.41
0.0936197,7605.01,2971.61,-3711.41
0.0994709,7622.33,2949.89,-3711.41
0.105322,7639.53,2928.18,-3711.41
0.111173,7656.6,2906.46,-3711.41
0.117025,7673.54,2884.74,-3711.41
0.122876,7690.35,2863.03,-3711.41
0.128727,7707.04,2841.31,-3711.41
0.134578,7723.61,2819.59,-3711.41
0.14043,7740.04,2797.88,-3711.41
0.146281,7756.35,2776.16,-3711.41
0.152132,7772.53,2754.45,-3711.41
0.157983,7788.58,2732.73,-3711.41
0.163834,7804.51,2711.01,-3711.41
0.169686,7820.31,2689.3,-3711.41
0.175537,7835.98,2667.58,-3711.41
0.181388,7851.52,2645.86,-3711.41
0.187239,7866.94,2624.15,-3711.41
0.193091,7882.23,2602.43,-3711.41
0.198942,7897.4,2580.72,-3711.41
0.204793,7912.43,2559,-3711.41
0.210644,7927.34,2537.28,-3711.41
0.216495,7942.13,2515.57,-3711.41
0.222347,7956.78,2493.85,-3711.41
0.228198,7971.31,2472.13,-3711.41
0.234049,7985.71,2450.42,-3711.41
0.2399,7999.99,2428.7,-3711.41
0.245752,8014.13,2406.99,-3711.41
0.251603,8028.15,2385.27,-3711.41
0.257454,8042.05,2363.55,-3711.41
0.263305,8055.81,2341.84,-3711.41
0.269157,8069.45,2320.12,-3711.41
0.275008,8082.96,2298.4,-3711.41
0.280859,8096.35,2276.69,-3711.41
0.28671,8109.61,2254.97,-3711.41
0.292561,8122.74,2233.25,-3711.41
0.298413,8135.74,2211.54,-3711.41
0.304264,8148.62,2189.82,-3711.41
0.310115,8161.37,2168.11,-3711.41
0.315966,8173.99,2146.39,-3711.41
0.321818,8186.49,2124.67,-3711.41
0.327669,8198.85,2102.96,-3711.41
0.33352,8211.1,2081.24,-3711.41
0.339371,8223.21,2059.52,-3711.41
0.345223,8235.2,2037.81,-3711.41
0.351074,8247.06,2016.09,-3711.41
0.356925,8258.79,1994.37,-3711.41
0.362776,8270.4,1972.66,-3711.41
0.368628,8281.88,1950.94,-3711.41
0.374479,8293.23,1929.23,-3711.41
0.38033,8304.45,1907.51,-3711.41
0.386181,8315.55,1885.79,-3711.41
0.392033,8326.52,1864.08,-3711.41
0.397884,8337.37,1842.36,-3711.41
0.403735,8348.08,1820.64,-3711.41
0.409586,8358.67,1798.93,-3711.41
0.415437,8369.13,1777.21,-3711.41
0.421289,8379.47,1755.49,-3711.41
0.42714,8389.68,1733.78,-3711.41
0.432991,8399.76,1712.06,-3711.41
0.438842,8409.71,1690.35,-3711.41
0.444694,8419.54,1668.63,-3711.41
0.450545,8429.24,1646.91,-3711.41
0.456396,8438.81,1625.2,-3711.41
0.462247,8448.26,1603.48,-3711.41
0.468099,8457.58,1581.76,-3711.41
0.47395,8466.77,1560.05,-3711.41
0.479801,8475.83,1538.33,-3711.41
0.485652,8484.77,1516.62,-3711.41
0.491504,8493.58,1494.9,-3711.41
0.497355,8502.27,1473.18,-3711.41
0.503206,8510.82,1451.47,-3711.41
0.509057,8519.25,1429.75,-3711.41
0.514908,8527.55,1408.03,-3711.41
0.52076,8535.73,1386.32,-3711.41
0.526611,8543.78,1364.6,-3711.41
0.532462,8551.7,1342.88,-3711.41
0.538313,8559.49,1321.17,-3711.41
0.544165,8567.16,1299.45,-3711.41
0.550016,8574.7,1277.74,-3711.41
0.555867,8582.11,1256.02,-3711.41
0.561718,8589.4,1234.3,-3711.41
0.567569,8596.56,1212.59,-3711.41
0.573421,8603.59,1190.87,-3711.41
0.579272,8610.49,1169.16,-3711.41
0.585123,8617.27,1147.44,-3711.41
0.590974,8623.92,1125.72,-3711.41
0.596825,8630.44,1104.01,-3711.41
0.602677,8636.84,1082.29,-3711.41
0.608528,8643.11,1060.57,-3711.41
0.614379,8649.25,1038.86,-3711.41
0.62023,8655.26,1017.14,-3711.41
0.626081,8661.15,995.425,-3711.41
0.631933,8666.91,973.709,-3711.41
0.637784,8672.55,951.993,-3711.41
0.643635,8678.05,930.276,-3711.41
0.649486,8683.43,908.56,-3711.41
0.655338,8688.69,886.844,-3711.41
0.661189,8693.81,865.128,-3711.41
0.66704,8698.81,843.411,-3711.41
0.672891,8703.68,821.695,-3711.41
0.678742,8708.43,799.979,-3711.41
0.684594,8713.04,778.263,-3711.41
0.690445,8717.53,756.547,-3711.41
0.696296,8721.9,734.83,-3711.41
0.702147,8726.13,713.114,-3711.41
0.707998,8730.24,691.398,-3711.41
0.71385,8734.22,669.682,-3711.41
0.719701,8738.08,647.965,-3711.41
0.725552,8741.81,626.249,-3711.41
0.731403,8745.41,604.533,-3711.41
0.737254,8748.88,582.817,-3711.41
0.743106,8752.23,561.1,-3711.41
0.748957,8755.45,539.384,-3711.41
0.754808,8758.54,517.668,-3711.41
0.760659,8761.51,495.952,-3711.41
0.76651,8764.34,474.235,-3711.41
0.772362,8767.06,452.519,-3711.41
0.778213,8769.64,430.803,-3711.41
0.784064,8772.1,409.087,-3711.41
0.789915,8774.43,387.371,-3711.41
0.795767,8776.63,365.654,-3711.41
0.801618,8778.71,343.938,-3711.41
0.807469,8780.66,322.222,-3711.41
0.81332,8782.48,300.506,-3711.41
0.819171,8784.17,278.789,-3711.41
0.825023,8785.74,257.073,-3711.41
0.830874,8787.18,235.357,-3711.41
0.836725,8788.49,213.641,-3711.41
0.842576,8789.68,191.924,-3711.41
0.848427,8790.74,170.208,-3711.41
0.854279,8791.67,148.492,-3711.41
0.86013,8792.48,126.776,-3711.41
0.865981,8793.16,105.059,-3711.41
0.871832,8793.71,83.3433,-3711.41
0.877683,8794.13,61.627,-3711.41
0.883535,8794.43,39.9106,-3711.41
0.889386,8794.6,18.1946,-3711.41
0.895237,8794.64,-3.52173,-3711.41
0.901088,8794.56,-25.238,-3711.41
0.90694,8794.35,-46.9541,-3711.41
0.912791,8794.01,-68.6704,-3711.41
0.918642,8793.54,-90.3867,-3711.41
0.924493,8792.95,-112.103,-3711.41
0.930344,8792.23,-133.819,-3711.41
0.936196,8791.38,-155.535,-3711.41
0.942047,8790.41,-177.252,-3711.41
0.947898,8789.31,-198.968,-3711.41
0.953749,8788.08,-220.684,-3711.41
0.9596,8786.73,-242.4,-3711.41
0.965452,8785.25,-264.116,-3711.41
0.971303,8783.64,-285.833,-3711.41
0.977154,8781.9,-307.549,-3711.41
0.983005,8780.04,-329.265,-3711.41
0.988856,8778.05,-350.981,-3711.41
0.994708,8775.93,-372.698,-3711.41
1.00056,8773.69,-394.414,-3711.41
1.00641,8771.31,-416.13,-3711.41
1.01226,8768.82,-437.847,-3711.41
1.01811,8766.19,-459.563,-3711.41
1.02396,8763.44,-481.28,-3711.41
1.02982,8760.56,-502.996,-3711.41
1.03567,8757.55,-524.713,-3711.41
1.04152,8754.42,-546.429,-3711.41
1.04737,8751.16,-568.146,-3711.41
1.05322,8747.77,-589.862,-3711.41
1.05907,8744.25,-611.579,-3711.41
1.06492,8740.61,-633.295,-3711.41
1.07077,8736.84,-655.011,-3711.41
